Scope
Manufacturer	Model
sleepyCat	vst.S2v3.midway
Note: Will match scope definitions for vst.S2v3.midway or vst.S2v3

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Buffer size	0	4194304	Value	ValueOutput
LFO Waveform	0	4194304	Value	ValueOutput
LFO rate	0	4194304	Value	ValueOutput
Mod Source	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Mix Mod Rate	0	4194304	Value	ValueOutput
Left LFO Dest	0	4194304	Value	ValueOutput
Right LFO Dest	0	4194304	Value	ValueOutput
Right Buffer Size	0	4194304	Value	ValueOutput
LFO Waveform Right	0	4194304	Value	ValueOutput
LFO rate right	0	4194304	Value	ValueOutput
Mod Source Right	0	4194304	Value	ValueOutput
Left Buffer Mod	0	4194304	Value	ValueOutput
Stereo Link	0	4194304	Value	ValueOutput
Mix Mod	0	4194304	Value	ValueOutput
Right Buffer Mod	0	4194304	Value	ValueOutput
B1	0	4194304	Value	ValueOutput
B2	0	4194304	Value	ValueOutput
B3	0	4194304	Value	ValueOutput
PitchBend	0	4194304	Value	ValueOutput
MIDI Vol	0	4194304	Value	ValueOutput
MIDI Pan	0	4194304	Value	ValueOutput
MIDI Mod Wheel	0	4194304	Value	ValueOutput
MIDI Expression	0	4194304	Value	ValueOutput
MIDI Channel Pressure	0	4194304	Value	ValueOutput
MIDI Sustain Pedal	0	4194304	Value	ValueOutput
All Notes Off	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
