Scope
Manufacturer	Model
Image-Line	vst.ISex.IL Slicex
Note: Will match scope definitions for vst.ISex.IL Slicex or vst.ISex

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Play / pause	0	4194304	Value	ValueOutput
Live selection	0	4194304	Value	ValueOutput
Master level	0	4194304	Value	ValueOutput
Master randomness level	0	4194304	Value	ValueOutput
Master LFO level	0	4194304	Value	ValueOutput
Master pitch	0	4194304	Value	ValueOutput
Modulation X	0	4194304	Value	ValueOutput
Modulation Y	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Panning -	0	4194304	Value	ValueOutput
Art group 1 - Panning -	0	4194304	Value	ValueOutput
Art group 1 - Panning -	0	4194304	Value	ValueOutput
Art group 1 - Panning -	0	4194304	Value	ValueOutput
Art group 1 - Panning -	0	4194304	Value	ValueOutput
Art group 1 - Panning -	0	4194304	Value	ValueOutput
Art group 1 - Panning -	0	4194304	Value	ValueOutput
Art group 1 - Panning -	0	4194304	Value	ValueOutput
Art group 1 - Volume - 	0	4194304	Value	ValueOutput
Art group 1 - Volume - 	0	4194304	Value	ValueOutput
Art group 1 - Volume - 	0	4194304	Value	ValueOutput
Art group 1 - Volume - 	0	4194304	Value	ValueOutput
Art group 1 - Volume - 	0	4194304	Value	ValueOutput
Art group 1 - Volume - 	0	4194304	Value	ValueOutput
Art group 1 - Volume - 	0	4194304	Value	ValueOutput
Art group 1 - Volume - 	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter cu	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Filter re	0	4194304	Value	ValueOutput
Art group 1 - Speed - A	0	4194304	Value	ValueOutput
Art group 1 - Speed - D	0	4194304	Value	ValueOutput
Art group 1 - Speed - S	0	4194304	Value	ValueOutput
Art group 1 - Speed - R	0	4194304	Value	ValueOutput
Art group 1 - Speed - L	0	4194304	Value	ValueOutput
Art group 1 - Speed - L	0	4194304	Value	ValueOutput
Art group 1 - Speed - L	0	4194304	Value	ValueOutput
Art group 1 - Speed - L	0	4194304	Value	ValueOutput
Art group 2 - Filter cu	0	4194304	Value	ValueOutput
Art group 2 - Filter cu	0	4194304	Value	ValueOutput
Art group 2 - Filter re	0	4194304	Value	ValueOutput
Art group 2 - Panning -	0	4194304	Value	ValueOutput
Art group 2 - Panning -	0	4194304	Value	ValueOutput
Art group 2 - Panning -	0	4194304	Value	ValueOutput
Art group 2 - Panning -	0	4194304	Value	ValueOutput
Art group 2 - Panning -	0	4194304	Value	ValueOutput
Art group 2 - Panning -	0	4194304	Value	ValueOutput
Art group 2 - Panning -	0	4194304	Value	ValueOutput
Art group 2 - Panning -	0	4194304	Value	ValueOutput
Art group 2 - Volume - 	0	4194304	Value	ValueOutput
Art group 2 - Volume - 	0	4194304	Value	ValueOutput
Art group 2 - Volume - 	0	4194304	Value	ValueOutput
Art group 2 - Volume - 	0	4194304	Value	ValueOutput
Art group 2 - Volume - 	0	4194304	Value	ValueOutput
Art group 2 - Volume - 	0	4194304	Value	ValueOutput
Art group 2 - Volume - 	0	4194304	Value	ValueOutput
Art group 2 - Volume - 	0	4194304	Value	ValueOutput
Art group 2 - Filter cu	0	4194304	Value	ValueOutput
Art group 2 - Filter cu	0	4194304	Value	ValueOutput
