Scope
Manufacturer	Model
Stagecraft Software	vst.BtCr.SC BitCrusher 64
Note: Will match scope definitions for vst.BtCr.SC BitCrusher 64 or vst.BtCr

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Mix	0	4194304	Value	ValueOutput
Noise	0	4194304	Value	ValueOutput
Bits	0	4194304	Value	ValueOutput
Rate Reduction	0	4194304	Value	ValueOutput
Noise Mode	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Freq	0	4194304	Value	ValueOutput
Res	0	4194304	Value	ValueOutput
LFO Freq	0	4194304	Value	ValueOutput
LFO %	0	4194304	Value	ValueOutput
Warp	0	4194304	Value	ValueOutput
Phase	0	4194304	Value	ValueOutput
Spread	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
