Scope
Manufacturer	Model
Cockos	vst.rcmd.reacontrolmidi-standalone
Note: Will match scope definitions for vst.rcmd.reacontrolmidi-standalone or vst.rcmd

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bank MSB	0	4194304	Value	ValueOutput
Bank LSB	0	4194304	Value	ValueOutput
Program	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Pan	0	4194304	Value	ValueOutput
Pitch Wheel	0	4194304	Value	ValueOutput
<none>	0	4194304	Value	ValueOutput
<none>	0	4194304	Value	ValueOutput
Channel	0	4194304	Value	ValueOutput
Transpose	0	4194304	Value	ValueOutput
Snap to Scale	0	4194304	Value	ValueOutput
Scale Root	0	4194304	Value	ValueOutput
Scale Type	0	4194304	Value	ValueOutput
Bank/Program En	0	4194304	Value	ValueOutput
CC Enable	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
