Scope
Manufacturer	Model
Full Bucket Music	vst.fbqy.qyooo64
Note: Will match scope definitions for vst.fbqy.qyooo64 or vst.fbqy

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Version	0	4194304	Value	ValueOutput
Voices	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
MstrTune	0	4194304	Value	ValueOutput
Portamnt	0	4194304	Value	ValueOutput
Velocity	0	4194304	Value	ValueOutput
PB Range	0	4194304	Value	ValueOutput
Osc1 Vol	0	4194304	Value	ValueOutput
Osc1 Sft	0	4194304	Value	ValueOutput
Osc1 Tun	0	4194304	Value	ValueOutput
Osc1 Wav	0	4194304	Value	ValueOutput
Osc1Ring	0	4194304	Value	ValueOutput
Osc1 PW	0	4194304	Value	ValueOutput
Osc1 PWM	0	4194304	Value	ValueOutput
Osc1 PWM	0	4194304	Value	ValueOutput
Osc1 FM1	0	4194304	Value	ValueOutput
Osc1 FM1	0	4194304	Value	ValueOutput
Osc1 FM2	0	4194304	Value	ValueOutput
Osc1 FM2	0	4194304	Value	ValueOutput
Osc2 Vol	0	4194304	Value	ValueOutput
Osc2 Sft	0	4194304	Value	ValueOutput
Osc2 Tun	0	4194304	Value	ValueOutput
Osc2 Wav	0	4194304	Value	ValueOutput
Osc2Ring	0	4194304	Value	ValueOutput
Osc2 PW	0	4194304	Value	ValueOutput
Osc2 PWM	0	4194304	Value	ValueOutput
Osc2 PWM	0	4194304	Value	ValueOutput
Osc2 FM1	0	4194304	Value	ValueOutput
Osc2 FM1	0	4194304	Value	ValueOutput
Osc2 FM2	0	4194304	Value	ValueOutput
Osc2 FM2	0	4194304	Value	ValueOutput
Osc3 Vol	0	4194304	Value	ValueOutput
Osc3 Sft	0	4194304	Value	ValueOutput
Osc3 Tun	0	4194304	Value	ValueOutput
Osc3 Wav	0	4194304	Value	ValueOutput
Osc3Ring	0	4194304	Value	ValueOutput
Osc3 PW	0	4194304	Value	ValueOutput
Osc3 PWM	0	4194304	Value	ValueOutput
Osc3 PWM	0	4194304	Value	ValueOutput
Osc3 FM1	0	4194304	Value	ValueOutput
Osc3 FM1	0	4194304	Value	ValueOutput
Osc3 FM2	0	4194304	Value	ValueOutput
Osc3 FM2	0	4194304	Value	ValueOutput
Noise	0	4194304	Value	ValueOutput
Noise AM	0	4194304	Value	ValueOutput
Noise AM	0	4194304	Value	ValueOutput
Flt Arr.	0	4194304	Value	ValueOutput
FltMode1	0	4194304	Value	ValueOutput
FltMode2	0	4194304	Value	ValueOutput
FltMode3	0	4194304	Value	ValueOutput
Morph X	0	4194304	Value	ValueOutput
Morph Y	0	4194304	Value	ValueOutput
X-Mod 1	0	4194304	Value	ValueOutput
X-Mod 1	0	4194304	Value	ValueOutput
X-Mod 2	0	4194304	Value	ValueOutput
X-Mod 2	0	4194304	Value	ValueOutput
X-Mod 3	0	4194304	Value	ValueOutput
X-Mod 3	0	4194304	Value	ValueOutput
Y-Mod 1	0	4194304	Value	ValueOutput
Y-Mod 1	0	4194304	Value	ValueOutput
Y-Mod 2	0	4194304	Value	ValueOutput
Y-Mod 2	0	4194304	Value	ValueOutput
Y-Mod 3	0	4194304	Value	ValueOutput
Y-Mod 3	0	4194304	Value	ValueOutput
A1 Freq	0	4194304	Value	ValueOutput
A1 Reso	0	4194304	Value	ValueOutput
A1 Vol	0	4194304	Value	ValueOutput
A1 Pan	0	4194304	Value	ValueOutput
A2 Freq	0	4194304	Value	ValueOutput
A2 Reso	0	4194304	Value	ValueOutput
A2 Vol	0	4194304	Value	ValueOutput
A2 Pan	0	4194304	Value	ValueOutput
A3 Freq	0	4194304	Value	ValueOutput
A3 Reso	0	4194304	Value	ValueOutput
A3 Vol	0	4194304	Value	ValueOutput
A3 Pan	0	4194304	Value	ValueOutput
B1 Freq	0	4194304	Value	ValueOutput
B1 Reso	0	4194304	Value	ValueOutput
B1 Vol	0	4194304	Value	ValueOutput
B1 Pan	0	4194304	Value	ValueOutput
B2 Freq	0	4194304	Value	ValueOutput
B2 Reso	0	4194304	Value	ValueOutput
B2 Vol	0	4194304	Value	ValueOutput
B2 Pan	0	4194304	Value	ValueOutput
