Scope
Manufacturer	Model
PPG	vst.GRS1.Phonem
Note: Will match scope definitions for vst.GRS1.Phonem or vst.GRS1

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
RES	0	4194304	Value	ValueOutput
Freeze	0	4194304	Value	ValueOutput
NoisCol	0	4194304	Value	ValueOutput
TonVel	0	4194304	Value	ValueOutput
resvd	0	4194304	Value	ValueOutput
Noise	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
EnvT B	0	4194304	Value	ValueOutput
EnvT P	0	4194304	Value	ValueOutput
EnvT A	0	4194304	Value	ValueOutput
EnvT D	0	4194304	Value	ValueOutput
EnvT S	0	4194304	Value	ValueOutput
EnvT R	0	4194304	Value	ValueOutput
EnvT AB	0	4194304	Value	ValueOutput
EnvT DB	0	4194304	Value	ValueOutput
EnvT RB	0	4194304	Value	ValueOutput
EnvT LW	0	4194304	Value	ValueOutput
EnvT LR	0	4194304	Value	ValueOutput
EnvT V	0	4194304	Value	ValueOutput
EnvG A	0	4194304	Value	ValueOutput
EnvG D	0	4194304	Value	ValueOutput
EnvG S	0	4194304	Value	ValueOutput
EnvG R	0	4194304	Value	ValueOutput
EnvG AB	0	4194304	Value	ValueOutput
EnvG DB	0	4194304	Value	ValueOutput
EnvG RB	0	4194304	Value	ValueOutput
EnvG V	0	4194304	Value	ValueOutput
EnvM1 B	0	4194304	Value	ValueOutput
EnvM1 P	0	4194304	Value	ValueOutput
EnvM1 A	0	4194304	Value	ValueOutput
EnvM1 D	0	4194304	Value	ValueOutput
EnvM1 S	0	4194304	Value	ValueOutput
EnvM1 R	0	4194304	Value	ValueOutput
EnvM1 A	0	4194304	Value	ValueOutput
EnvM1 D	0	4194304	Value	ValueOutput
EnvM1 R	0	4194304	Value	ValueOutput
EnvM1 L	0	4194304	Value	ValueOutput
EnvM1 L	0	4194304	Value	ValueOutput
EnvM1 V	0	4194304	Value	ValueOutput
EnvM2 B	0	4194304	Value	ValueOutput
EnvM2 P	0	4194304	Value	ValueOutput
EnvM2 A	0	4194304	Value	ValueOutput
EnvM2 D	0	4194304	Value	ValueOutput
EnvM2 S	0	4194304	Value	ValueOutput
EnvM2 R	0	4194304	Value	ValueOutput
EnvM2 A	0	4194304	Value	ValueOutput
EnvM2 D	0	4194304	Value	ValueOutput
EnvM2 R	0	4194304	Value	ValueOutput
EnvM2 L	0	4194304	Value	ValueOutput
EnvM2 L	0	4194304	Value	ValueOutput
EnvM2 V	0	4194304	Value	ValueOutput
EnvM3 B	0	4194304	Value	ValueOutput
EnvM3 P	0	4194304	Value	ValueOutput
EnvM3 A	0	4194304	Value	ValueOutput
EnvM3 D	0	4194304	Value	ValueOutput
EnvM3 S	0	4194304	Value	ValueOutput
EnvM3 R	0	4194304	Value	ValueOutput
EnvM3 A	0	4194304	Value	ValueOutput
EnvM3 D	0	4194304	Value	ValueOutput
EnvM3 R	0	4194304	Value	ValueOutput
EnvM3 L	0	4194304	Value	ValueOutput
EnvM3 L	0	4194304	Value	ValueOutput
EnvM3 V	0	4194304	Value	ValueOutput
EnvMW B	0	4194304	Value	ValueOutput
EnvMW P	0	4194304	Value	ValueOutput
EnvMW A	0	4194304	Value	ValueOutput
EnvMW D	0	4194304	Value	ValueOutput
EnvMW S	0	4194304	Value	ValueOutput
EnvMW R	0	4194304	Value	ValueOutput
EnvMW A	0	4194304	Value	ValueOutput
EnvMW D	0	4194304	Value	ValueOutput
EnvMW R	0	4194304	Value	ValueOutput
EnvMW L	0	4194304	Value	ValueOutput
EnvMW L	0	4194304	Value	ValueOutput
EnvMW V	0	4194304	Value	ValueOutput
LFO1 S	0	4194304	Value	ValueOutput
LFO1 G	0	4194304	Value	ValueOutput
LFO1 R	0	4194304	Value	ValueOutput
LFO2 S	0	4194304	Value	ValueOutput
LFO2 G	0	4194304	Value	ValueOutput
LFO2 R	0	4194304	Value	ValueOutput
LFO3 S	0	4194304	Value	ValueOutput
LFO3 G	0	4194304	Value	ValueOutput
LFO3 R	0	4194304	Value	ValueOutput
LFO4 S	0	4194304	Value	ValueOutput
LFO4 G	0	4194304	Value	ValueOutput
LFO4 R	0	4194304	Value	ValueOutput
