Scope
Manufacturer	Model
Voxengo	vst.5l8l.BMS x64
Note: Will match scope definitions for vst.5l8l.BMS x64 or vst.5l8l

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
XOFreq	0	4194304	Value	ValueOutput
XOSteep	0	4194304	Value	ValueOutput
MixGain	0	4194304	Value	ValueOutput
LFEGain	0	4194304	Value	ValueOutput
LFEChn	0	4194304	Value	ValueOutput
DefMode	0	4194304	Value	ValueOutput
LFHiMut	0	4194304	Value	ValueOutput
P0ChMode	0	4194304	Value	ValueOutput
P1ChMode	0	4194304	Value	ValueOutput
P2ChMode	0	4194304	Value	ValueOutput
P3ChMode	0	4194304	Value	ValueOutput
P4ChMode	0	4194304	Value	ValueOutput
P5ChMode	0	4194304	Value	ValueOutput
P6ChMode	0	4194304	Value	ValueOutput
P7ChMode	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
