Scope
Manufacturer	Model
TAL-Togu Audio Line	vst.xg70.TAL-Dub-3 x64
Note: Will match scope definitions for vst.xg70.TAL-Dub-3 x64 or vst.xg70

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
inputdrive	0	4194304	Value	ValueOutput
delaytime	0	4194304	Value	ValueOutput
delaytimesync	0	4194304	Value	ValueOutput
delaytwice_l	0	4194304	Value	ValueOutput
delaytwice_r	0	4194304	Value	ValueOutput
feedback	0	4194304	Value	ValueOutput
highcut	0	4194304	Value	ValueOutput
cutoff	0	4194304	Value	ValueOutput
resonance	0	4194304	Value	ValueOutput
dry	0	4194304	Value	ValueOutput
wet	0	4194304	Value	ValueOutput
livemode	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
