Scope
Manufacturer	Model
TAL - Togu Audio Line	vst.a17h.TAL-Dub x64
Note: Will match scope definitions for vst.a17h.TAL-Dub x64 or vst.a17h

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Param	0	4194304	Value	ValueOutput
DELAY_L	0	4194304	Value	ValueOutput
DELAY_R	0	4194304	Value	ValueOutput
DELAY_LINK	0	4194304	Value	ValueOutput
CUTOFF	0	4194304	Value	ValueOutput
RESONANCE	0	4194304	Value	ValueOutput
LOWCUT	0	4194304	Value	ValueOutput
FEEDBACK_L	0	4194304	Value	ValueOutput
FEEDBACK_R	0	4194304	Value	ValueOutput
FEEDBACK_LINK	0	4194304	Value	ValueOutput
DRYWET	0	4194304	Value	ValueOutput
FX	0	4194304	Value	ValueOutput
SWAP	0	4194304	Value	ValueOutput
SIGNALIN	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Param	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
