Scope
Manufacturer	Model
Flux:: sound and picture development	vst.fxSy.SyrahV3
Note: Will match scope definitions for vst.fxSy.SyrahV3 or vst.fxSy

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Flux:: bypass	0	4194304	Value	ValueOutput
Morphing	0	4194304	Value	ValueOutput
Amount	0	4194304	Value	ValueOutput
Thickness	0	4194304	Value	ValueOutput
Relax	0	4194304	Value	ValueOutput
RelaxBass	0	4194304	Value	ValueOutput
Boost	0	4194304	Value	ValueOutput
Inverse	0	4194304	Value	ValueOutput
MS Mode	0	4194304	Value	ValueOutput
Width	0	4194304	Value	ValueOutput
Link Channels	0	4194304	Value	ValueOutput
Look Ahead	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
Speed	0	4194304	Value	ValueOutput
Velocity	0	4194304	Value	ValueOutput
Velocity x3	0	4194304	Value	ValueOutput
Velocity Log	0	4194304	Value	ValueOutput
Link Gain	0	4194304	Value	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Output Gain	0	4194304	Value	ValueOutput
Gain Compensation	0	4194304	Value	ValueOutput
Clipper	0	4194304	Value	ValueOutput
DryMix	0	4194304	Value	ValueOutput
ToolTips Display time	0	4194304	Value	ValueOutput
Enable ToolTips	0	4194304	Value	ValueOutput
Morphing Automation	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
