Scope
Manufacturer	Model
Eventide	vst.H910.H910 Harmonizer
Note: Will match scope definitions for vst.H910.H910 Harmonizer or vst.H910

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Input Level	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Pitch Ratio	0	4194304	Value	ValueOutput
Anti-Feedback	0	4194304	Value	ValueOutput
Delay Only	0	4194304	Value	ValueOutput
Delay	0	4194304	Value	ValueOutput
Pitch Control	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Converters	0	4194304	Value	ValueOutput
Pitch Drift Loc	0	4194304	Value	ValueOutput
Output2 Delay T	0	4194304	Value	ValueOutput
Main Level	0	4194304	Value	ValueOutput
Output2 Level	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Sensitivity	0	4194304	Value	ValueOutput
Glide Time	0	4194304	Value	ValueOutput
Keyboard	0	4194304	Value	ValueOutput
Line	0	4194304	Value	ValueOutput
Power	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
