Scope
Manufacturer	Model
Cableguys	vst.CGF3.FilterShaper3 x64
Note: Will match scope definitions for vst.CGF3.FilterShaper3 x64 or vst.CGF3

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Filter 1 Type	0	4194304	Value	ValueOutput
Filter 1 Cutoff	0	4194304	Value	ValueOutput
Filter 1 Resona	0	4194304	Value	ValueOutput
Filter 1 Drive	0	4194304	Value	ValueOutput
Filter 1 Res. D	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Filter 1 Clippi	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Filter 1 Pan	0	4194304	Value	ValueOutput
Filter 1 Volume	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Filter 2 Type	0	4194304	Value	ValueOutput
Filter 2 Cutoff	0	4194304	Value	ValueOutput
Filter 2 Resona	0	4194304	Value	ValueOutput
Filter 2 Drive	0	4194304	Value	ValueOutput
Filter 2 Res. D	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Filter 2 Clippi	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Filter 2 Pan	0	4194304	Value	ValueOutput
Filter 2 Volume	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Filter Routing	0	4194304	Value	ValueOutput
Filter Linked	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Master Pan	0	4194304	Value	ValueOutput
Master Volume	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
Midi In	0	4194304	Value	ValueOutput
Midi In Channel	0	4194304	Value	ValueOutput
Midi In Octave	0	4194304	Value	ValueOutput
Midi In Note	0	4194304	Value	ValueOutput
P5.0 Intensity	0	4194304	Value	ValueOutput
P5.0 Speed Type	0	4194304	Value	ValueOutput
P5.0 Loop Length	0	4194304	Value	ValueOutput
P5.0 Speed	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
P60.0 Intensity	0	4194304	Value	ValueOutput
P60.0 Speed Type	0	4194304	Value	ValueOutput
P60.0 Loop Lengt	0	4194304	Value	ValueOutput
P60.0 Speed	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
P60.1 Intensity	0	4194304	Value	ValueOutput
P60.1 Attack	0	4194304	Value	ValueOutput
P60.1 Hold	0	4194304	Value	ValueOutput
P60.1 Decay	0	4194304	Value	ValueOutput
X (Reserved)	0	4194304	Value	ValueOutput
