Scope
Manufacturer	Model
Audiority	vst.AdGS.GrainSpace x64
Note: Will match scope definitions for vst.AdGS.GrainSpace x64 or vst.AdGS

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Mode	0	4194304	Value	ValueOutput
Grain Size	0	4194304	Value	ValueOutput
Distance	0	4194304	Value	ValueOutput
Pitch	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Freeze	0	4194304	Value	ValueOutput
Freeze Switch	0	4194304	Value	ValueOutput
Position	0	4194304	Value	ValueOutput
Stretch	0	4194304	Value	ValueOutput
LFO Wave	0	4194304	Value	ValueOutput
LFO Dest	0	4194304	Value	ValueOutput
LFO Rate	0	4194304	Value	ValueOutput
LFO Mode	0	4194304	Value	ValueOutput
LFO Amount	0	4194304	Value	ValueOutput
Rnd Size	0	4194304	Value	ValueOutput
Rnd Pitch	0	4194304	Value	ValueOutput
Smear	0	4194304	Value	ValueOutput
Grain Vol	0	4194304	Value	ValueOutput
Blend	0	4194304	Value	ValueOutput
Reverb	0	4194304	Value	ValueOutput
Reverb Mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
