Scope
Manufacturer	Model
Acon Digital	vst.ACDV.DeVerberate
Note: Will match scope definitions for vst.ACDV.DeVerberate or vst.ACDV

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
ReverbTime	0	4194304	Value	ValueOutput
InputReverbLeve	0	4194304	Value	ValueOutput
OutputReverbLev	0	4194304	Value	ValueOutput
OutputDryLevel	0	4194304	Value	ValueOutput
EnableEmphasisF	0	4194304	Value	ValueOutput
LowShelfFrequen	0	4194304	Value	ValueOutput
LowShelfGain	0	4194304	Value	ValueOutput
LowShelfSlope	0	4194304	Value	ValueOutput
LowMidFrequency	0	4194304	Value	ValueOutput
LowMidGain	0	4194304	Value	ValueOutput
LowMidBandWidth	0	4194304	Value	ValueOutput
HighMidFrequenc	0	4194304	Value	ValueOutput
HighMidGain	0	4194304	Value	ValueOutput
HighMidBandWidt	0	4194304	Value	ValueOutput
HighShelfFreque	0	4194304	Value	ValueOutput
HighShelfGain	0	4194304	Value	ValueOutput
HighShelfSlope	0	4194304	Value	ValueOutput
SpectralSmoothi	0	4194304	Value	ValueOutput
EnableDry	0	4194304	Value	ValueOutput
EnableReverb	0	4194304	Value	ValueOutput
ResidualMode	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
