Scope
Manufacturer	Model
Mercuriall	vst.U53M.U530 CME x64
Note: Will match scope definitions for vst.U53M.U530 CME x64 or vst.U53M

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Preamp	0	4194304	Value	ValueOutput
Tube	0	4194304	Value	ValueOutput
Channel	0	4194304	Value	ValueOutput
Structure	0	4194304	Value	ValueOutput
Input Volume	0	4194304	Value	ValueOutput
Lead Tonestack	0	4194304	Value	ValueOutput
Lead Gain	0	4194304	Value	ValueOutput
Lead Treble	0	4194304	Value	ValueOutput
Lead Middle Hi	0	4194304	Value	ValueOutput
Lead Middle Lo	0	4194304	Value	ValueOutput
Lead Bass	0	4194304	Value	ValueOutput
Lead Output	0	4194304	Value	ValueOutput
Clean Low Boost	0	4194304	Value	ValueOutput
Clean Tonestack	0	4194304	Value	ValueOutput
Clean Gain	0	4194304	Value	ValueOutput
Clean Treble	0	4194304	Value	ValueOutput
Clean Middle	0	4194304	Value	ValueOutput
Clean Bass	0	4194304	Value	ValueOutput
Clean Output	0	4194304	Value	ValueOutput
Poweramp	0	4194304	Value	ValueOutput
Presence	0	4194304	Value	ValueOutput
Master	0	4194304	Value	ValueOutput
Output Volume	0	4194304	Value	ValueOutput
Cabinet	0	4194304	Value	ValueOutput
Cabinet Model	0	4194304	Value	ValueOutput
Mic Axis	0	4194304	Value	ValueOutput
Mic Distance	0	4194304	Value	ValueOutput
Chorus	0	4194304	Value	ValueOutput
Chorus Dry/Wet	0	4194304	Value	ValueOutput
Chorus Speed	0	4194304	Value	ValueOutput
Chorus Depth	0	4194304	Value	ValueOutput
Modeling Engine	0	4194304	Value	ValueOutput
Oversampling	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
