Scope
Manufacturer	Model
VirSyn	vst.VRFL.REFLECT64
Note: Will match scope definitions for vst.VRFL.REFLECT64 or vst.VRFL

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Input gain	0	4194304	Value	ValueOutput
Early size	0	4194304	Value	ValueOutput
Early damping	0	4194304	Value	ValueOutput
Early stereo	0	4194304	Value	ValueOutput
Tail delay	0	4194304	Value	ValueOutput
Reverb time	0	4194304	Value	ValueOutput
Room size	0	4194304	Value	ValueOutput
Absorption	0	4194304	Value	ValueOutput
Diffusion	0	4194304	Value	ValueOutput
Tail stereo	0	4194304	Value	ValueOutput
EQ bypass	0	4194304	Value	ValueOutput
Pink filter	0	4194304	Value	ValueOutput
LF gain	0	4194304	Value	ValueOutput
LF frequ	0	4194304	Value	ValueOutput
LMF gain	0	4194304	Value	ValueOutput
LMF frequ	0	4194304	Value	ValueOutput
LMF Q	0	4194304	Value	ValueOutput
HMF gain	0	4194304	Value	ValueOutput
HMF frequ	0	4194304	Value	ValueOutput
HMF Q	0	4194304	Value	ValueOutput
HF gain	0	4194304	Value	ValueOutput
HF frequ	0	4194304	Value	ValueOutput
Tail/Early mix	0	4194304	Value	ValueOutput
Dry/Wet mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
