Scope
Manufacturer	Model
Zynaptiq	vst.ZYAV.ADAPTIVERB VST
Note: Will match scope definitions for vst.ZYAV.ADAPTIVERB VST or vst.ZYAV

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
DRY WET MIX	0	4194304	Value	ValueOutput
WET GAIN	0	4194304	Value	ValueOutput
LOW CUT	0	4194304	Value	ValueOutput
PRE-DELAY	0	4194304	Value	ValueOutput
REVERB SOURCE	0	4194304	Value	ValueOutput
AIR	0	4194304	Value	ValueOutput
SUSTAIN	0	4194304	Value	ValueOutput
FREEZE	0	4194304	Value	ValueOutput
DIFFUSION	0	4194304	Value	ValueOutput
RICHNESS	0	4194304	Value	ValueOutput
INTERVAL	0	4194304	Value	ValueOutput
PITCH RANDOMIZE	0	4194304	Value	ValueOutput
HCF AMOUNT	0	4194304	Value	ValueOutput
HCF MODE	0	4194304	Value	ValueOutput
SNAPSHOT	0	4194304	Value	ValueOutput
SIMPLIFY	0	4194304	Value	ValueOutput
BREATHINESS	0	4194304	Value	ValueOutput
TRACKING MODE	0	4194304	Value	ValueOutput
REVERB MODEL	0	4194304	Value	ValueOutput
REVERB SIZE	0	4194304	Value	ValueOutput
REVERB DAMP	0	4194304	Value	ValueOutput
REVERB MIX	0	4194304	Value	ValueOutput
KYBD ALGO	0	4194304	Value	ValueOutput
HCF WEIGHTING	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
