Scope
Manufacturer	Model
4Front Technologies	vst.4FC2.4Front Rhode x64
Note: Will match scope definitions for vst.4FC2.4Front Rhode x64 or vst.4FC2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Decay	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Drive Cu	0	4194304	Value	ValueOutput
Vel. Cur	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Master F	0	4194304	Value	ValueOutput
Q	0	4194304	Value	ValueOutput
Room Amo	0	4194304	Value	ValueOutput
Room Siz	0	4194304	Value	ValueOutput
Rev. Amo	0	4194304	Value	ValueOutput
Rev. Len	0	4194304	Value	ValueOutput
Rev. Dam	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
