Scope
Manufacturer	Model
Impact Soundworks	vst.Snvb.SNESVerb
Note: Will match scope definitions for vst.Snvb.SNESVerb or vst.Snvb

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Dry Gain	0	4194304	Value	ValueOutput
Wet Gain	0	4194304	Value	ValueOutput
Input Mode	0	4194304	Value	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Pre-filter Cutof	0	4194304	Value	ValueOutput
Post-filter Cuto	0	4194304	Value	ValueOutput
Dry Downsampling	0	4194304	Value	ValueOutput
Dry Filtering	0	4194304	Value	ValueOutput
Echo Time	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
Delay Width	0	4194304	Value	ValueOutput
Sample Rate	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
