Scope
Manufacturer	Model
accusonus	vst.ARgp.RegrooverPro
Note: Will match scope definitions for vst.ARgp.RegrooverPro or vst.ARgp

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Output Gain	0	4194304	Value	ValueOutput
Gain1	0	4194304	Value	ValueOutput
Pan1	0	4194304	Value	ValueOutput
ON1	0	4194304	Value	ValueOutput
Gain2	0	4194304	Value	ValueOutput
Pan2	0	4194304	Value	ValueOutput
ON2	0	4194304	Value	ValueOutput
Gain3	0	4194304	Value	ValueOutput
Pan3	0	4194304	Value	ValueOutput
ON3	0	4194304	Value	ValueOutput
Gain4	0	4194304	Value	ValueOutput
Pan4	0	4194304	Value	ValueOutput
ON4	0	4194304	Value	ValueOutput
Gain5	0	4194304	Value	ValueOutput
Pan5	0	4194304	Value	ValueOutput
ON5	0	4194304	Value	ValueOutput
Gain6	0	4194304	Value	ValueOutput
Pan6	0	4194304	Value	ValueOutput
ON6	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
