Scope
Manufacturer	Model
Nomad Factory	vst.RFT_.Retro Film-Tone x64
Note: Will match scope definitions for vst.RFT_.Retro Film-Tone x64 or vst.RFT_

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Internal Use	0	4194304	Value	ValueOutput
Power	0	4194304	Value	ValueOutput
P80 Hz	0	4194304	Value	ValueOutput
P200 Hz	0	4194304	Value	ValueOutput
P500 Hz	0	4194304	Value	ValueOutput
P1250 Hz	0	4194304	Value	ValueOutput
P3200 Hz	0	4194304	Value	ValueOutput
P8000 Hz	0	4194304	Value	ValueOutput
P16000 Hz	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Phase	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
