Scope
Manufacturer	Model
Inear_Display	vst.inRq.Regressif
Note: Will match scope definitions for vst.inRq.Regressif or vst.inRq

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Cutoff	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Filter Type	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Distortion Routi	0	4194304	Value	ValueOutput
Rate	0	4194304	Value	ValueOutput
Bits	0	4194304	Value	ValueOutput
LoFi Routing	0	4194304	Value	ValueOutput
Amp	0	4194304	Value	ValueOutput
Dry / Wet	0	4194304	Value	ValueOutput
LFO 1 RATE	0	4194304	Value	ValueOutput
LFO 1 SYNCED RAT	0	4194304	Value	ValueOutput
LFO 1 SYNC	0	4194304	Value	ValueOutput
LFO 1 WAVE	0	4194304	Value	ValueOutput
LFO 2 RATE	0	4194304	Value	ValueOutput
LFO 2 SYNCED RAT	0	4194304	Value	ValueOutput
LFO 2 SYNC	0	4194304	Value	ValueOutput
LFO 2 WAVE	0	4194304	Value	ValueOutput
LFOs Mix	0	4194304	Value	ValueOutput
Cutoff Mod Sourc	0	4194304	Value	ValueOutput
Cutoff Mod Depth	0	4194304	Value	ValueOutput
Resonance Mod So	0	4194304	Value	ValueOutput
Resonance Mod De	0	4194304	Value	ValueOutput
Rate Mod Source	0	4194304	Value	ValueOutput
Rate Mod Depth	0	4194304	Value	ValueOutput
Bits Mod Source	0	4194304	Value	ValueOutput
Bits Mod Depth	0	4194304	Value	ValueOutput
Dry/Wet Mod Sour	0	4194304	Value	ValueOutput
Dry/Wet Mod Dept	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
