Scope
Manufacturer	Model
LePou plugins	vst.LXTC.LeXtac
Note: Will match scope definitions for vst.LXTC.LeXtac or vst.LXTC

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Input	0	4194304	Value	ValueOutput
Channel	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Low	0	4194304	Value	ValueOutput
Mid	0	4194304	Value	ValueOutput
High	0	4194304	Value	ValueOutput
Contour	0	4194304	Value	ValueOutput
PreEQ	0	4194304	Value	ValueOutput
Structure	0	4194304	Value	ValueOutput
Plexi	0	4194304	Value	ValueOutput
Boost	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Oversampling	0	4194304	Value	ValueOutput
Power	0	4194304	Value	ValueOutput
Mono/Stereo	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
