Scope
Manufacturer	Model
Flux:: sound and picture development	vst.fxBS.BSPro x64
Note: Will match scope definitions for vst.fxBS.BSPro x64 or vst.fxBS

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Morphing	0	4194304	Value	ValueOutput
LookAhead	0	4194304	Value	ValueOutput
Output Gain	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
Amount	0	4194304	Value	ValueOutput
Period	0	4194304	Value	ValueOutput
Speed Mode	0	4194304	Value	ValueOutput
Cutoff 1	0	4194304	Value	ValueOutput
Cutoff 2	0	4194304	Value	ValueOutput
Static Gain	0	4194304	Value	ValueOutput
Filter Order	0	4194304	Value	ValueOutput
Detector Listen	0	4194304	Value	ValueOutput
Clipper	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Hold	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Diff.	0	4194304	Value	ValueOutput
BandwidthMode	0	4194304	Value	ValueOutput
Morphing Automation	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
