Scope
Manufacturer	Model
Waves	vst.TAPM.WaveShell-VST 9_91_x64.Kramer Tape Mono
Note: Will match scope definitions for vst.TAPM.WaveShell-VST 9_91_x64.Kramer Tape Mono or vst.TAPM

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Record Level	0	4194304	Value	ValueOutput
Speed	0	4194304	Value	ValueOutput
Monitor	0	4194304	Value	ValueOutput
Bias	0	4194304	Value	ValueOutput
Flux	0	4194304	Value	ValueOutput
Wow and Flutter	0	4194304	Value	ValueOutput
Noise	0	4194304	Value	ValueOutput
Delay Time	0	4194304	Value	ValueOutput
Delay Level	0	4194304	Value	ValueOutput
Delay Type	0	4194304	Value	ValueOutput
Low Pass	0	4194304	Value	ValueOutput
Playback Level	0	4194304	Value	ValueOutput
VU Calibration	0	4194304	Value	ValueOutput
Meter	0	4194304	Value	ValueOutput
Link I/O	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
