Scope
Manufacturer	Model
Waves	vst.HBDS.WaveShell-VST 9_91_x64.H-Delay Stereo
Note: Will match scope definitions for vst.HBDS.WaveShell-VST 9_91_x64.H-Delay Stereo or vst.HBDS

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Delay Sec	0	4194304	Value	ValueOutput
Delay BPM	0	4194304	Value	ValueOutput
Feedback	0	4194304	Value	ValueOutput
PingPong	0	4194304	Value	ValueOutput
Sync	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Analog	0	4194304	Value	ValueOutput
LoFi	0	4194304	Value	ValueOutput
Rate	0	4194304	Value	ValueOutput
Depth	0	4194304	Value	ValueOutput
HiPass	0	4194304	Value	ValueOutput
LoPass	0	4194304	Value	ValueOutput
Phase L	0	4194304	Value	ValueOutput
Phase R	0	4194304	Value	ValueOutput
BPM	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
