Scope
Manufacturer	Model
Signaldust	vst.TilA.Tila2-x64
Note: Will match scope definitions for vst.TilA.Tila2-x64 or vst.TilA

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Predel.	0	4194304	Value	ValueOutput
RTime	0	4194304	Value	ValueOutput
Diffus.	0	4194304	Value	ValueOutput
Roomsz	0	4194304	Value	ValueOutput
Hi Freq	0	4194304	Value	ValueOutput
Lo Freq	0	4194304	Value	ValueOutput
Hi EQ	0	4194304	Value	ValueOutput
Lo EQ	0	4194304	Value	ValueOutput
HiScale	0	4194304	Value	ValueOutput
LoScale	0	4194304	Value	ValueOutput
Hi Cut	0	4194304	Value	ValueOutput
Lo Cut	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
