Scope
Manufacturer	Model
Ddmf	vst.LiCo.LinComp
Note: Will match scope definitions for vst.LiCo.LinComp or vst.LiCo

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
freq1	0	4194304	Value	ValueOutput
freq2	0	4194304	Value	ValueOutput
freq3	0	4194304	Value	ValueOutput
thresh1	0	4194304	Value	ValueOutput
thresh2	0	4194304	Value	ValueOutput
thresh3	0	4194304	Value	ValueOutput
thresh4	0	4194304	Value	ValueOutput
ratio1	0	4194304	Value	ValueOutput
ratio2	0	4194304	Value	ValueOutput
ratio3	0	4194304	Value	ValueOutput
ratio4	0	4194304	Value	ValueOutput
attack1	0	4194304	Value	ValueOutput
attack2	0	4194304	Value	ValueOutput
attack3	0	4194304	Value	ValueOutput
attack4	0	4194304	Value	ValueOutput
release1	0	4194304	Value	ValueOutput
release2	0	4194304	Value	ValueOutput
release3	0	4194304	Value	ValueOutput
release4	0	4194304	Value	ValueOutput
solo1	0	4194304	Value	ValueOutput
solo2	0	4194304	Value	ValueOutput
solo3	0	4194304	Value	ValueOutput
solo4	0	4194304	Value	ValueOutput
bypass1	0	4194304	Value	ValueOutput
bypass2	0	4194304	Value	ValueOutput
bypass3	0	4194304	Value	ValueOutput
bypass4	0	4194304	Value	ValueOutput
level1	0	4194304	Value	ValueOutput
level2	0	4194304	Value	ValueOutput
level3	0	4194304	Value	ValueOutput
level4	0	4194304	Value	ValueOutput
level_left	0	4194304	Value	ValueOutput
level_right	0	4194304	Value	ValueOutput
outgain	0	4194304	Value	ValueOutput
globalbypass	0	4194304	Value	ValueOutput
softknee	0	4194304	Value	ValueOutput
clip	0	4194304	Value	ValueOutput
a_or_b	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
