Scope
Manufacturer	Model
Nomad Factory	vst.Lph2.Liquid Phase II x64
Note: Will match scope definitions for vst.Lph2.Liquid Phase II x64 or vst.Lph2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Internal Use	0	4194304	Value	ValueOutput
Bypass	0	4194304	Value	ValueOutput
LFO Sync	0	4194304	Value	ValueOutput
LFO Rate	0	4194304	Value	ValueOutput
LFO Depth	0	4194304	Value	ValueOutput
LFO Wave	0	4194304	Value	ValueOutput
Phaser Stage	0	4194304	Value	ValueOutput
Resonance	0	4194304	Value	ValueOutput
Low Contour	0	4194304	Value	ValueOutput
High Contour	0	4194304	Value	ValueOutput
Digital/Analog	0	4194304	Value	ValueOutput
Invert Feed	0	4194304	Value	ValueOutput
Peak Limit	0	4194304	Value	ValueOutput
Overdrive	0	4194304	Value	ValueOutput
Stereo Width	0	4194304	Value	ValueOutput
Output Level	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
