Scope
Manufacturer	Model
D16 Group Audio Software	vst.RP78.Repeater x64
Note: Will match scope definitions for vst.RP78.Repeater x64 or vst.RP78

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Input Gain	0	4194304	Value	ValueOutput
Ping Pong Mode	0	4194304	Value	ValueOutput
Stereo Spread	0	4194304	Value	ValueOutput
Delay Left Time	0	4194304	Value	ValueOutput
Delay Right Time	0	4194304	Value	ValueOutput
Delay Left Durat	0	4194304	Value	ValueOutput
Delay Left Note 	0	4194304	Value	ValueOutput
Delay Right Dura	0	4194304	Value	ValueOutput
Delay Right Note	0	4194304	Value	ValueOutput
Feedback Left	0	4194304	Value	ValueOutput
Feedback Right	0	4194304	Value	ValueOutput
Analog Feedback	0	4194304	Value	ValueOutput
Phase Invert Lef	0	4194304	Value	ValueOutput
Phase Invert Rig	0	4194304	Value	ValueOutput
HPF Left Frequen	0	4194304	Value	ValueOutput
HPF Right Freque	0	4194304	Value	ValueOutput
LPF Left Frequen	0	4194304	Value	ValueOutput
LPF Right Freque	0	4194304	Value	ValueOutput
Color Left	0	4194304	Value	ValueOutput
Color Right	0	4194304	Value	ValueOutput
Panning Left	0	4194304	Value	ValueOutput
Panning Right	0	4194304	Value	ValueOutput
Mix Left	0	4194304	Value	ValueOutput
Mix Right	0	4194304	Value	ValueOutput
Output Volume	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
