Scope
Manufacturer	Model
Flux:: sound and picture development	vst.fxPl.PureLimiterV3 x64
Note: Will match scope definitions for vst.fxPl.PureLimiterV3 x64 or vst.fxPl

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Morphing	0	4194304	Value	ValueOutput
Input Level	0	4194304	Value	ValueOutput
Output Level	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Knee	0	4194304	Value	ValueOutput
Mode	0	4194304	Value	ValueOutput
Release Min	0	4194304	Value	ValueOutput
Release Max	0	4194304	Value	ValueOutput
Dynamic HPF	0	4194304	Value	ValueOutput
Dynamic LPF	0	4194304	Value	ValueOutput
Dynamic Factor	0	4194304	Value	ValueOutput
Dynamic Velocity	0	4194304	Value	ValueOutput
Channel Link	0	4194304	Value	ValueOutput
Look Ahead	0	4194304	Value	ValueOutput
MakeUp	0	4194304	Value	ValueOutput
Listen Differences	0	4194304	Value	ValueOutput
Auto Knee	0	4194304	Value	ValueOutput
Auto Look Ahead	0	4194304	Value	ValueOutput
Link Knee	0	4194304	Value	ValueOutput
listen to dynamic filter	0	4194304	Value	ValueOutput
Morphing Automation	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
