Scope
Manufacturer	Model
Native Instruments GmbH	vst.Ni%24%3E.RC 24
Note: Will match scope definitions for vst.Ni%24%3E.RC 24 or vst.Ni%24%3E

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Predelay	0	4194304	Value	ValueOutput
Depth	0	4194304	Value	ValueOutput
Intensity	0	4194304	Value	ValueOutput
Modulation	0	4194304	Value	ValueOutput
Bass	0	4194304	Value	ValueOutput
Mid	0	4194304	Value	ValueOutput
Crossover	0	4194304	Value	ValueOutput
Hi Cut	0	4194304	Value	ValueOutput
Algorithm	0	4194304	Value	ValueOutput
Rev Color	0	4194304	Value	ValueOutput
Mix Mode	0	4194304	Value	ValueOutput
Mix	0	4194304	Value	ValueOutput
Input	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Quantization Noi	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
