Scope
Manufacturer	Model
Sonic Anomaly	vst.UL51.Unlimited_x64
Note: Will match scope definitions for vst.UL51.Unlimited_x64 or vst.UL51

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Center Weight	0	4194304	Value	ValueOutput
LFE Weight	0	4194304	Value	ValueOutput
Surround Weight	0	4194304	Value	ValueOutput
Character	0	4194304	Value	ValueOutput
Response	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Classic Mode	0	4194304	Value	ValueOutput
Channel Order	0	4194304	Value	ValueOutput
True Peaks	0	4194304	Value	ValueOutput
Monitor All	0	4194304	Value	ValueOutput
Monitor Front	0	4194304	Value	ValueOutput
Monitor Center	0	4194304	Value	ValueOutput
Monitor LFE	0	4194304	Value	ValueOutput
Monitor Surround	0	4194304	Value	ValueOutput
Loudness	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
