Scope
Manufacturer	Model
Nomad Factory	vst.NQ81.British NEQ-1972 x64
Note: Will match scope definitions for vst.NQ81.British NEQ-1972 x64 or vst.NQ81

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Internal Use	0	4194304	Value	ValueOutput
Power	0	4194304	Value	ValueOutput
HPF	0	4194304	Value	ValueOutput
LPF	0	4194304	Value	ValueOutput
LF Freq	0	4194304	Value	ValueOutput
LF Gain	0	4194304	Value	ValueOutput
LF Peak	0	4194304	Value	ValueOutput
LMF Freq	0	4194304	Value	ValueOutput
LMF Gain	0	4194304	Value	ValueOutput
LMF HiQ	0	4194304	Value	ValueOutput
HMF Freq	0	4194304	Value	ValueOutput
HMF Gain	0	4194304	Value	ValueOutput
HMF HiQ	0	4194304	Value	ValueOutput
HF Freq	0	4194304	Value	ValueOutput
HF Gain	0	4194304	Value	ValueOutput
HF Peak	0	4194304	Value	ValueOutput
Output Level	0	4194304	Value	ValueOutput
Phase	0	4194304	Value	ValueOutput
Vintage	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
