Scope
Manufacturer	Model
Full Bucket Music	vst.kp30.stigma64
Note: Will match scope definitions for vst.kp30.stigma64 or vst.kp30

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Version	0	4194304	Value	ValueOutput
Voices	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Velocity	0	4194304	Value	ValueOutput
Balance	0	4194304	Value	ValueOutput
KBS Mode	0	4194304	Value	ValueOutput
KBS Dest	0	4194304	Value	ValueOutput
MstrTune	0	4194304	Value	ValueOutput
SyntTune	0	4194304	Value	ValueOutput
Pan Syn.	0	4194304	Value	ValueOutput
Pan Ins.	0	4194304	Value	ValueOutput
Vib. Src	0	4194304	Value	ValueOutput
Vib. Dpt	0	4194304	Value	ValueOutput
NoiseSrc	0	4194304	Value	ValueOutput
NoiseDpt	0	4194304	Value	ValueOutput
LPF Src	0	4194304	Value	ValueOutput
LPF Dpt	0	4194304	Value	ValueOutput
HPF Src	0	4194304	Value	ValueOutput
HPF Dpt	0	4194304	Value	ValueOutput
Oct Down	0	4194304	Value	ValueOutput
Oct Up	0	4194304	Value	ValueOutput
Porta	0	4194304	Value	ValueOutput
KBD Sens	0	4194304	Value	ValueOutput
Joy Syn.	0	4194304	Value	ValueOutput
Joy Ins.	0	4194304	Value	ValueOutput
Del Vib.	0	4194304	Value	ValueOutput
Q.Tone	0	4194304	Value	ValueOutput
Mult.Trg	0	4194304	Value	ValueOutput
Key Hold	0	4194304	Value	ValueOutput
Porta T.	0	4194304	Value	ValueOutput
KBDS Int	0	4194304	Value	ValueOutput
Joy S.Rg	0	4194304	Value	ValueOutput
Joy I.Rg	0	4194304	Value	ValueOutput
LFO Dpt	0	4194304	Value	ValueOutput
LFO Spd	0	4194304	Value	ValueOutput
LFO Dly	0	4194304	Value	ValueOutput
RingMod	0	4194304	Value	ValueOutput
Noise	0	4194304	Value	ValueOutput
P32' Saw	0	4194304	Value	ValueOutput
P16' S/H	0	4194304	Value	ValueOutput
P16' PWM	0	4194304	Value	ValueOutput
P8' Saw	0	4194304	Value	ValueOutput
P8' Pulse	0	4194304	Value	ValueOutput
P8' Rect	0	4194304	Value	ValueOutput
P4' Saw	0	4194304	Value	ValueOutput
P32'EBass	0	4194304	Value	ValueOutput
P32'Tuba	0	4194304	Value	ValueOutput
P16'Clavi	0	4194304	Value	ValueOutput
P16'FuzzG	0	4194304	Value	ValueOutput
P16'Horn	0	4194304	Value	ValueOutput
P8'Trump	0	4194304	Value	ValueOutput
P8'Clari	0	4194304	Value	ValueOutput
P8'DReed	0	4194304	Value	ValueOutput
P8'String	0	4194304	Value	ValueOutput
P4'Flute	0	4194304	Value	ValueOutput
P4'HPerc	0	4194304	Value	ValueOutput
Syn.Ptch	0	4194304	Value	ValueOutput
Noise AR	0	4194304	Value	ValueOutput
P32'SawAR	0	4194304	Value	ValueOutput
P16'SHClk	0	4194304	Value	ValueOutput
P16'PWMAR	0	4194304	Value	ValueOutput
P8'SawAR	0	4194304	Value	ValueOutput
P8'PlsDcy	0	4194304	Value	ValueOutput
P8'RecAR	0	4194304	Value	ValueOutput
P4'SawDcy	0	4194304	Value	ValueOutput
P32'EB FC	0	4194304	Value	ValueOutput
P32'TubFC	0	4194304	Value	ValueOutput
P16'ClaPW	0	4194304	Value	ValueOutput
P16'FGTon	0	4194304	Value	ValueOutput
P16'HrnFC	0	4194304	Value	ValueOutput
P8'TrumFC	0	4194304	Value	ValueOutput
P8'ClaTon	0	4194304	Value	ValueOutput
P8'DRdTon	0	4194304	Value	ValueOutput
P8'StrAtk	0	4194304	Value	ValueOutput
P4'FlTone	0	4194304	Value	ValueOutput
P4'HPcDly	0	4194304	Value	ValueOutput
Chorus	0	4194304	Value	ValueOutput
Cho SMix	0	4194304	Value	ValueOutput
Cho IMix	0	4194304	Value	ValueOutput
Cho LFO1	0	4194304	Value	ValueOutput
Cho LFO2	0	4194304	Value	ValueOutput
Cho Dpt	0	4194304	Value	ValueOutput
PWM Spd	0	4194304	Value	ValueOutput
P1 Gain	0	4194304	Value	ValueOutput
P1 Flt1	0	4194304	Value	ValueOutput
P1 Flt2	0	4194304	Value	ValueOutput
