Scope
Manufacturer	Model
NUGEN Audio	vst.MGLT.NUGEN Monofilter4 64bit
Note: Will match scope definitions for vst.MGLT.NUGEN Monofilter4 64bit or vst.MGLT

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Bypass	0	4194304	Value	ValueOutput
HPF Cutoff	0	4194304	Value	ValueOutput
Low Frequency	0	4194304	Value	ValueOutput
High Frequency	0	4194304	Value	ValueOutput
Balance	0	4194304	Value	ValueOutput
Trim Mono	0	4194304	Value	ValueOutput
Trim Stereo	0	4194304	Value	ValueOutput
Auto Trim	0	4194304	Value	ValueOutput
Low Width	0	4194304	Value	ValueOutput
High Width	0	4194304	Value	ValueOutput
Output	0	4194304	Value	ValueOutput
Process Source	0	4194304	Value	ValueOutput
Phase	0	4194304	Value	ValueOutput
Auto Phase	0	4194304	Value	ValueOutput
Analysis	0	4194304	Value	ValueOutput
Analysis View	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
