Scope
Manufacturer	Model
Turn2on Software	ru.turn2on.Blackpole

Remotable	Min	Max	Input type	Output type
Polyphony	0	99	Value	ValueOutput
Octave	0	4	Value	ValueOutput
Pitch Range	0	4194304	Value	ValueOutput
Pan	0	4194304	Value	ValueOutput
Matser Volume	0	4194304	Value	ValueOutput
Osc1 Mix	0	4194304	Value	ValueOutput
Osc2 Mix	0	4194304	Value	ValueOutput
SubOsc Mix	0	4194304	Value	ValueOutput
Ring Mix	0	4194304	Value	ValueOutput
Noise Mix	0	4194304	Value	ValueOutput
Osc1 X7 Bypass	0	1	Toggle	ValueOutput
Osc1 X7 Voices	0	6	Value	ValueOutput
Osc1 X7 Tune	0	4194304	Value	ValueOutput
Osc1 X7 Detune	0	4194304	Value	ValueOutput
Osc1 X7 Mix	0	4194304	Value	ValueOutput
Osc1 X7 Sub	0	4194304	Value	ValueOutput
Osc1 Tune	0	4194304	Value	ValueOutput
Osc1 On/Off	0	1	Toggle	ValueOutput
Osc1 Wave	0	51	Value	ValueOutput
Osc1 Kb. Tracking	0	4194304	Value	ValueOutput
Osc1 Pan	0	4194304	Value	ValueOutput
Osc2 X7 Bypass	0	1	Toggle	ValueOutput
Osc2 X7 Voices	0	6	Value	ValueOutput
Osc2 X7 Tune	0	4194304	Value	ValueOutput
Osc2 X7 Detune	0	4194304	Value	ValueOutput
Osc2 X7 Mix	0	4194304	Value	ValueOutput
Osc2 X7 Sub	0	4194304	Value	ValueOutput
Osc2 Tune	0	4194304	Value	ValueOutput
Osc2 On/Off	0	1	Toggle	ValueOutput
Osc2 Wave	0	51	Value	ValueOutput
Osc2 Kb. Tracking	0	4194304	Value	ValueOutput
Osc2 Pan	0	4194304	Value	ValueOutput
SubOsc X7 Bypass	0	1	Toggle	ValueOutput
SubOsc X7 Voices	0	6	Value	ValueOutput
SubOsc X7 Tune	0	4194304	Value	ValueOutput
SubOsc X7 Detune	0	4194304	Value	ValueOutput
SubOsc X7 Mix	0	4194304	Value	ValueOutput
SubOsc X7 Sub	0	4194304	Value	ValueOutput
SubOsc Tune	0	4194304	Value	ValueOutput
SubOsc On/Off	0	1	Toggle	ValueOutput
SubOsc Wave	0	14	Value	ValueOutput
SubOsc Kb. Tracking	0	4194304	Value	ValueOutput
SubOsc Pan	0	4194304	Value	ValueOutput
Ring Tune	0	4194304	Value	ValueOutput
Ring Osc On/Off	0	1	Toggle	ValueOutput
Comb Filter On/Off	0	1	Toggle	ValueOutput
Comb Tune	0	4194304	Value	ValueOutput
Comb Keytrack	0	1	Toggle	ValueOutput
Comb Feedback	0	4194304	Value	ValueOutput
Comb Damping	0	4194304	Value	ValueOutput
Comb Stiffness	0	4194304	Value	ValueOutput
Comb Mix	0	4194304	Value	ValueOutput
Noise Color	0	4194304	Value	ValueOutput
Noise Osc On/Off	0	1	Toggle	ValueOutput
LFO1 Wave	0	5	Value	ValueOutput
LFO2 Wave	0	5	Value	ValueOutput
LFO3 Wave	0	5	Value	ValueOutput
LFO1 Rate	0	4194304	Value	ValueOutput
LFO2 Rate	0	4194304	Value	ValueOutput
LFO3 Rate	0	4194304	Value	ValueOutput
LFO1 Depth	0	4194304	Value	ValueOutput
LFO2 Depth	0	4194304	Value	ValueOutput
LFO3 Depth	0	4194304	Value	ValueOutput
LFO1 Destination	0	3	Value	ValueOutput
LFO2 Destination	0	3	Value	ValueOutput
LFO3 Destination	0	3	Value	ValueOutput
LFO1 Smooth	0	4194304	Value	ValueOutput
LFO2 Smooth	0	4194304	Value	ValueOutput
LFO3 Smooth	0	4194304	Value	ValueOutput
