Scope
Manufacturer	Model
Skrock Music	se.skrockmusic.Kraft

Remotable	Min	Max	Input type	Output type
Master Volume	0	4194304	Value	ValueOutput
Master Pan	0	4194304	Value	ValueOutput
Master Tune	0	4194304	Value	ValueOutput
Voice Mode	0	2	Value	ValueOutput
Glide	0	4194304	Value	ValueOutput
Osc 1 Retrig	0	1	Toggle	ValueOutput
Osc 1 Modifiers	0	1	Toggle	ValueOutput
Osc 1 Cutoff Offset	0	4194304	Value	ValueOutput
Osc 1 Reso Offset	0	4194304	Value	ValueOutput
Osc 1 Detune	0	4194304	Value	ValueOutput
Osc 1 Index Offset	0	4194304	Value	ValueOutput
Osc 1 Spread	0	4194304	Value	ValueOutput
Osc 2 Modifiers	0	1	Toggle	ValueOutput
Osc 2 Cutoff Offset	0	4194304	Value	ValueOutput
Osc 2 Reso Offset	0	4194304	Value	ValueOutput
Osc 2 Detune	0	4194304	Value	ValueOutput
Osc 2 Index Offset	0	4194304	Value	ValueOutput
Osc 2 Spread	0	4194304	Value	ValueOutput
Osc 3 Modifiers	0	1	Toggle	ValueOutput
Osc 3 Cutoff Offset	0	4194304	Value	ValueOutput
Osc 3 Reso Offset	0	4194304	Value	ValueOutput
Osc 3 Detune	0	4194304	Value	ValueOutput
Osc 3 Index Offset	0	4194304	Value	ValueOutput
Osc 3 Spread	0	4194304	Value	ValueOutput
Osc 1 Level	0	4194304	Value	ValueOutput
Osc 1 Pan	0	4194304	Value	ValueOutput
Osc 1 Semi	0	4194304	Value	ValueOutput
Osc 1 Cent	0	4194304	Value	ValueOutput
Osc 1 Index	0	4194304	Value	ValueOutput
Osc 1 Cutoff	0	4194304	Value	ValueOutput
Osc 1 Resonance	0	4194304	Value	ValueOutput
Osc 1 Drive Shift	0	4194304	Value	ValueOutput
Osc 1 Cut Keytrack Shift	0	4194304	Value	ValueOutput
Osc 1 Filter Type	0	1	Toggle	ValueOutput
Osc 1 Mod 1 Amt	0	4194304	Value	ValueOutput
Osc 1 Mod 2 Amt	0	4194304	Value	ValueOutput
Osc 2 Retrig	0	1	Toggle	ValueOutput
Osc 2 Level	0	4194304	Value	ValueOutput
Osc 2 Pan	0	4194304	Value	ValueOutput
Osc 2 Semi	0	4194304	Value	ValueOutput
Osc 2 Cent	0	4194304	Value	ValueOutput
Osc 2 Index	0	4194304	Value	ValueOutput
Osc 2 Cutoff	0	4194304	Value	ValueOutput
Osc 2 Resonance	0	4194304	Value	ValueOutput
Osc 2 Drive Shift	0	4194304	Value	ValueOutput
Osc 2 Cut Keytrack Shift	0	4194304	Value	ValueOutput
Osc 2 Filter Type	0	1	Toggle	ValueOutput
Osc 2 Mod 1 Amt	0	4194304	Value	ValueOutput
Osc 2 Mod 2 Amt	0	4194304	Value	ValueOutput
Osc 3 Retrig	0	1	Toggle	ValueOutput
